,time,axial_force,vibration1,vibration2,vibration_x,vibration_y,force_z,tool_wear,ACTION_CODE,RUL
0,0,236.85,-1.127,-0.5693,-1.127,-0.5693,236.85,0.067334848,0,0.245413209
1,50,308.63,6.8597,7.6366,6.8597,7.6366,308.63,0.067861795,0,0.244886262
2,100,35.887,-2.502,-1.758,-2.502,-1.758,35.887,0.068390555,0,0.244357502
3,150,351.69,2.1358,2.8773,2.1358,2.8773,351.69,0.068921135,0,0.243826922
4,200,150.73,1.864,2.5232,1.864,2.5232,150.73,0.069453539,0,0.243294518
5,250,-93.306,-0.0315,0.5095,-0.0315,0.5095,-93.306,0.069987771,0,0.242760286
6,300,136.37,8.256,8.9968,8.256,8.9968,136.37,0.070523832,0,0.242224225
7,350,179.43,0.1086,0.6888,0.1086,0.6888,179.43,0.07106172,0,0.241686337
8,400,-64.597,-6.2031,-5.5412,-6.2031,-5.5412,-64.597,0.07160143,0,0.241146627
9,450,380.4,-1.064,-0.5076,-1.064,-0.5076,380.4,0.072142957,0,0.2406051
10,500,-78.951,4.7708,5.3761,4.7708,5.3761,-78.951,0.072686291,0,0.240061766
11,550,150.73,5.272,6.0187,5.272,6.0187,150.73,0.073231419,0,0.239516638
12,600,265.56,-2.9268,-2.362,-2.9268,-2.362,265.56,0.073778327,0,0.23896973
13,650,222.5,3.1414,3.7903,3.1414,3.7903,222.5,0.074326994,0,0.238421063
14,700,423.47,0.32,0.951,0.32,0.951,423.47,0.0748774,0,0.237870657
15,750,394.76,-2.7848,-2.2585,-2.7848,-2.2585,394.76,0.075429518,0,0.237318539
16,800,523.95,1.3712,1.961,1.3712,1.961,523.95,0.075983321,0,0.236764736
17,850,107.66,-7.314,-6.7614,-7.314,-6.7614,107.66,0.076538776,0,0.236209281
18,900,308.63,-6.4382,-5.7436,-6.4382,-5.7436,308.63,0.077095848,0,0.235652209
19,950,409.11,-1.1154,-0.5507,-1.1154,-0.5507,409.11,0.077654498,0,0.235093559
20,1000,251.21,4.4701,5.0979,4.4701,5.0979,251.21,0.078214686,0,0.234533371
21,1050,179.43,0.0765,0.6715,0.0765,0.6715,179.43,0.078776367,0,0.23397169
22,1100,-35.887,0.9349,1.5556,0.9349,1.5556,-35.887,0.079339492,0,0.233408565
23,1150,78.951,-0.1536,0.4652,-0.1536,0.4652,78.951,0.079904013,0,0.232844044
24,1200,193.79,-5.6691,-5.0124,-5.6691,-5.0124,193.79,0.080469876,0,0.232278181
25,1250,294.27,-3.169,-2.6241,-3.169,-2.6241,294.27,0.081037026,0,0.231711031
26,1300,107.66,1.3133,1.8987,1.3133,1.8987,107.66,0.081605406,0,0.231142651
