,time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE,RUL
0,0,0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004,0.048892617,0,0.12379422
1,34,0.463,0.71,1.683,0.043,0.042,0.049,0.001,0.048892617,0,0.12379422
2,68,0.782,1.589,-1.515,-0.028,-0.021,0.038,0.051,0.049570815,0,0.123116022
3,102,1.537,1.486,2.063,-0.078,-0.1,-0.055,0.048,0.049570815,0,0.123116022
4,136,1.186,-1.923,-2.612,-0.037,-0.035,-0.028,0.027,0.049570815,0,0.123116022
5,170,3.85,9.115,2.794,0.075,0.102,0.06,0.066,0.049570815,0,0.123116022
6,204,-3.799,8.972,0.119,-0.041,0.054,-0.06,0.072,0.050302867,0,0.12238397
7,238,2.152,5.067,-2.601,-0.078,-0.027,-0.062,0.057,0.050302867,0,0.12238397
8,272,1.905,1.989,5.097,0.04,0.037,-0.043,0.053,0.050302867,0,0.12238397
9,306,3.869,8.584,-4.173,-0.111,-0.13,-0.148,0.072,0.051083652,0,0.121603185
10,340,2.962,2.693,1.738,-0.106,-0.069,-0.012,0.082,0.051083652,0,0.121603185
11,374,-0.294,4.968,7.482,0.009,0.029,0.017,0.074,0.051083652,0,0.121603185
12,408,8.353,2.875,1.23,0.132,-0.06,0.181,0.066,0.052250329,0,0.120436508
13,442,4.267,8.823,-2.597,-0.004,0.059,0.077,0.099,0.052250329,0,0.120436508
14,476,-0.62,1.671,4.045,0.041,0.075,0.053,0.084,0.052250329,0,0.120436508
15,510,3.178,-4.339,-0.01,0.003,-0.016,-0.087,0.108,0.056282766,0,0.116404071
16,544,7.394,16.859,0.905,0.093,0.008,0.136,0.082,0.056282766,0,0.116404071
17,578,1.974,-0.848,5.871,0.109,-0.034,0.019,0.087,0.056282766,0,0.116404071
18,612,0.762,3.75,0.605,0.033,0.023,0.026,0.027,0.056282766,0,0.116404071
19,646,1.101,-0.088,8.076,-0.172,-0.065,-0.198,0.102,0.059976616,0,0.112710221
20,680,6.739,2.413,0.417,0.075,0.056,-0.009,0.094,0.059976616,0,0.112710221
